package	boundary_ids	status	allowed_paths	rationale
libc	posix-signal-disposition;posix-rlimit;posix-privilege-drop;posix-process-hardening;std-udp-socket;std-udp-mmsg;oxidegun-xdp-af-xdp;server-af-xdp	current	crates/borondns-core/src/config.rs;crates/borondns-server/src/process_signals.rs;crates/borondns-server/src/resource_limits.rs;crates/borondns-server/src/privilege.rs;crates/borondns-server/src/process_hardening.rs;crates/borondns-server/src/std_udp_socket.rs;crates/borondns-server/src/std_udp_mmsg.rs;crates/oxide-gun/src/xdp_backend.rs;crates/borondns-server/src/af_xdp.rs	Current Linux/POSIX dependency is limited to the shared secure read-only file-open flags plus audited signal-disposition file-descriptor-limit root-startup privilege-drop startup process-hardening standard UDP socket standard UDP batch and AF_XDP adapter operations.
rustix	posix-secret-store-open	current	crates/borondns-server/src/secret_store.rs	Current Unix filesystem syscall wrapper is confined to descriptor-relative read-only secret-store root and file traversal with directory and no-follow flags; the first-party boundary remains safe Rust and validates opened handle type and permissions.
aya	oxidegun-xdp-af-xdp;server-af-xdp	current	crates/oxide-gun/src/xdp_backend.rs;crates/borondns-server/src/af_xdp.rs	OxideGun and BoronDNS server use Aya only behind explicit XDP/AF_XDP feature paths for lab load generation, reply suppression, or server redirect setup; physical NIC production evidence remains a separate release gate.
libbpf-rs	xdp-af-xdp	deferred	future:packet-io-xdp	Future eBPF/XDP support must enter through an audited packet-I/O adapter and a privileged deployment profile.
xsk-rs	xdp-af-xdp	deferred	future:packet-io-xdp	Future AF_XDP support must enter through an audited packet-I/O adapter and a privileged deployment profile.
xdp	oxidegun-xdp-af-xdp;server-af-xdp	current	crates/oxide-gun/src/xdp_backend.rs;crates/borondns-server/src/af_xdp.rs	OxideGun and BoronDNS server use the pure-Rust xdp crate only behind explicit XDP/AF_XDP feature paths for dedicated Linux test interfaces; physical NIC production evidence remains a separate release gate.
io-uring	io-uring-packet-io	deferred	future:packet-io-iouring	Future io_uring support must enter through an audited packet-I/O adapter with buffer-lifetime and cancellation tests.
memmap2	nsd-packed-zone-store	deferred	future:packed-zone-store	Future packed zone-store or mapped-region work must enter through an audited zone-store adapter with bounds and publication tests.
bytemuck	nsd-packed-zone-store;response-cache	deferred	future:packed-zone-store;future:response-cache	Future zero-copy packed-store or response-cache work must enter through audited adapters with alignment, bounds, TTL, and invalidation tests.
zerocopy	oxidegun-xdp-af-xdp;server-af-xdp	current	crates/oxide-gun/src/xdp_backend.rs;crates/borondns-server/src/af_xdp.rs	Transitive-only through the current xdp crate; confined to audited OxideGun and BoronDNS AF_XDP adapter boundaries and not available to packed zone-store or response-cache work without a future dependency-gate update.
