id	status	path	boundary_kind	safe_api	unsafe_surface	required_tests	evidence
posix-signal-disposition	current	crates/borondns-server/src/process_signals.rs	posix-ffi	install_process_signal_dispositions()	libc::signal(SIG_IGN) for SIGHUP and SIGPIPE	cargo test signal handling plus scripts/capture-signal-evidence.sh	scripts/audit-safe-rust.sh requires SAFETY rationale and exact FFI call shape
posix-rlimit	current	crates/borondns-server/src/resource_limits.rs	posix-ffi	current_file_descriptor_limit()	libc::getrlimit(RLIMIT_NOFILE)	startup validation unit tests for required file descriptor formula	scripts/audit-safe-rust.sh requires SAFETY rationale and exact FFI call shape
posix-privilege-drop	current	crates/borondns-server/src/privilege.rs	posix-ffi	configured_run_as_user() and drop_to_user()	libc::getpwnam_r initgroups setresgid setresuid geteuid getegid sysconf for root startup privilege drop	cargo test -p borondns-server privilege plus startup exit-code tests	scripts/audit-safe-rust.sh requires SAFETY rationale and exact FFI call shape
posix-process-hardening	current	crates/borondns-server/src/process_hardening.rs	posix-ffi	disable_core_dumps_if_configured() and apply_no_new_privileges_if_configured()	libc::setrlimit(RLIMIT_CORE) and Linux prctl(PR_SET_DUMPABLE PR_SET_NO_NEW_PRIVS) for startup process hardening	cargo test -p borondns-server process_hardening plus startup hardening config tests	scripts/audit-safe-rust.sh requires SAFETY rationale and exact FFI call shape
posix-secret-store-open	current	crates/borondns-server/src/secret_store.rs	posix-safe-syscall-wrapper	OpenedSecretRoot::open() and OpenedSecretRoot::open_relative_file()	rustix open and descriptor-relative openat wrappers with directory no-follow nonblocking and close-on-exec flags; no first-party unsafe exception	cargo test -p borondns-server secret_store plus secret-root symlink-swap and intermediate-directory replacement tests	scripts/check-unsafe-prone-dependencies.py confines rustix references to this safe adapter and scripts/audit-safe-rust.sh verifies no first-party unsafe exception
std-udp-socket	current	crates/borondns-server/src/std_udp_socket.rs	posix-udp-socket	bind_reuseport_udp_socket() and set_current_thread_cpu_affinity()	libc socket close setsockopt bind sockaddr conversion and Linux sched_setaffinity for the standard UDP backend	cargo test -p borondns-server std_udp_reuseport_binds_multiple_workers_to_one_effective_port plus scripts/sweep-udp-runtime-benchmarks.sh preflight evidence	scripts/audit-safe-rust.sh requires SAFETY rationale and exact UDP socket FFI adapter confinement
std-udp-mmsg	current	crates/borondns-server/src/std_udp_mmsg.rs	posix-udp-batch	StdUdpBatchIo implementing PacketIo for recvmmsg/sendmmsg batches	libc recvmmsg sendmmsg sockaddr conversion and POD buffer initialization for the standard UDP batch backend	cargo test -p borondns-server std_udp_mmsg plus udp_batch_listener_records_packet_io_metrics plus scripts/sweep-udp-runtime-benchmarks.sh preflight evidence	scripts/audit-safe-rust.sh requires SAFETY rationale and exact UDP mmsg adapter confinement
borongun-xdp-af-xdp	current	crates/boron-gun/src/xdp_backend.rs	borongun-xdp-af-xdp	boron-gun --backend xdp feature-gated AF_XDP packet generator and optional --xdp-drop-object/--xdp-redirect-object loaders using a safe CLI/config boundary	xdp crate AF_XDP UMEM allocation fill TX RX ring ownership wakable ring syscalls plus Aya XDP attach XSK map setup and detach-on-drop for the BoronGun test tool only	cargo test -p boron-gun --features xdp plus scripts/boron-gun-self-test.sh and scripts/boron-gun-xdp-userns-smoke.sh; hardware lab runs use --backend xdp on a dedicated Linux XDP interface; eBPF helpers require scripts/boron-gun-build-ebpf.sh and privileged scripts/boron-gun-xdp-drop-veth-smoke.sh	scripts/audit-safe-rust.sh requires SAFETY rationale and exact AF_XDP/Aya adapter confinement; BoronDNS server XDP remains separate
borongun-ebpf-drop	current	crates/boron-gun-ebpf/src/lib.rs	borongun-xdp-ebpf	boron-gun optional --xdp-drop-object and --xdp-redirect-object eBPF programs loaded only by the lab XDP backend	packet-header unaligned reads rx_queue_index access and per-CPU map counter pointer mutation inside no_std XDP_DROP and XSK redirect programs; matching policy is configured through the safe userspace loader boundary	scripts/boron-gun-build-ebpf.sh plus privileged test script scripts/boron-gun-xdp-drop-veth-smoke.sh; source audit requires packet-bound checks before unaligned reads and map-pointer existence checks before mutation	scripts/audit-safe-rust.sh requires SAFETY rationale for each unsafe block; BoronDNS server XDP remains separate
server-af-xdp	current	crates/borondns-server/src/af_xdp.rs	xdp-ebpf-af-xdp	feature-gated PacketIo adapter selected only by explicit AF_XDP configuration	Aya eBPF object loading XDP attach XSK map setup xdp crate AF_XDP UMEM allocation fill RX TX ring ownership packet resize libc zero-length TX and FILL wake syscalls and detach-on-drop for lab/pre-NIC validation	cargo test -p borondns-server --features af-xdp af_xdp plus udp_af_xdp_backend_selection_has_clean_fallback_or_preflight_error; hardware lab runs remain separate	scripts/audit-safe-rust.sh requires SAFETY rationale and exact AF_XDP/Aya adapter confinement; release notes must keep physical NIC evidence separate
