requirement_id	phase	status	verification_method	local_evidence	short_artifact_inputs	remaining_release_gap
ODS-FR-ZSM-001	Engineering-MVP	partial	unit-test	crates/oxidedns-server/src/tests.rs::runtime_initializes_loading_zones; crates/oxidedns-server/src/tests.rs::runtime_initial_load_honors_transfer_concurrency_limit; crates/oxidedns-server/src/tests.rs::runtime_initial_load_publishes_zone_snapshot	scripts/check.sh	Release acceptance may add broader many-zone startup traces against release binaries and real primary versions.
ODS-FR-ZSM-002	Engineering-MVP	partial	unit-test	crates/oxidedns-server/src/tests.rs::refresh_registry_applies_initial_load_exponential_backoff; crates/oxidedns-core/src/config.rs::parses_custom_zsm_intervals; crates/oxidedns-core/src/config.rs::rejects_initial_retry_max_below_initial_retry	scripts/check.sh	Release acceptance may add longer unreachable-primary continuity traces; Engineering MVP keeps this to deterministic backoff tests.
ODS-FR-ZSM-003	Engineering-MVP	partial	unit-test	crates/oxidedns-server/src/tests.rs::refresh_registry_schedules_refresh_and_retry; crates/oxidedns-server/src/tests.rs::notify_refresh_worker_publishes_requested_refresh; crates/oxidedns-server/src/tests.rs::notify_refresh_signalling_records_metrics; scripts/interop-bind-notify-refresh.sh	scripts/check.sh; scripts/interop-bind-notify-refresh.sh	Release acceptance may refresh multi-primary NOTIFY artifacts; Engineering MVP uses unit tests and short interop hooks.
ODS-FR-ZSM-004	Engineering-MVP	partial	unit-test	crates/oxidedns-server/src/tests.rs::runtime_initial_load_publishes_zone_snapshot; crates/oxidedns-server/src/tests.rs::refresh_registry_schedules_refresh_and_retry; crates/oxidedns-server/src/tests.rs::refresh_skips_axfr_when_soa_poll_confirms_current_serial	scripts/check.sh	Release acceptance may add release-binary refresh-cycle timing traces; Engineering MVP relies on deterministic registry and refresh tests.
ODS-FR-ZSM-005	Engineering-MVP	partial	unit-test	crates/oxidedns-server/src/tests.rs::ixfr_cooldown_registry_disables_until_cooldown_expires; crates/oxidedns-server/src/tests.rs::refresh_uses_axfr_during_ixfr_disabled_cooldown; scripts/interop-ixfr-notimp-fallback.sh	scripts/check.sh; scripts/interop-ixfr-notimp-fallback.sh	Release acceptance may add broader real-primary IXFR capability evidence where primary support permits it.
ODS-FR-ZSM-006	Engineering-MVP	partial	unit-test	crates/oxidedns-server/src/tests.rs::refresh_skips_axfr_when_soa_poll_confirms_current_serial; crates/oxidedns-server/src/tests.rs::serial_after_handles_wraparound; crates/oxidedns-server/src/tests.rs::poll_soa_from_primary_reads_udp_response	scripts/check.sh	Release acceptance may add release-binary SOA poll traces across primary variants; Engineering MVP keeps local serial and poll behavior covered.
ODS-FR-ZSM-014	Engineering-MVP	partial	unit-test	crates/oxidedns-core/src/axfr.rs::builds_soa_query_wire_message; crates/oxidedns-server/src/tests.rs::poll_soa_from_primary_reads_udp_response; crates/oxidedns-server/src/tests.rs::poll_soa_from_primary_verifies_signed_tsig_response; crates/oxidedns-server/src/tests.rs::poll_soa_from_primary_ignores_udp_packet_from_unconnected_peer	scripts/check.sh	Release acceptance may add packet captures for SOA poll wire format and TCP fallback; Engineering MVP keeps construction and validation tests.
ODS-FR-ZSM-007	Engineering-MVP	partial	unit-test	crates/oxidedns-core/src/dns.rs::notify_embedded_soa_matching_question_is_accepted; crates/oxidedns-core/src/dns.rs::notify_embedded_soa_accepts_compressed_rdata_names; crates/oxidedns-server/src/tests.rs::notify_refresh_worker_publishes_requested_refresh	scripts/check.sh	Release acceptance may add primary-side NOTIFY SOA serial relationship artifacts; Engineering MVP keeps embedded-SOA parsing and refresh signaling tests.
ODS-FR-ZSM-008	Engineering-MVP	partial	unit-test	crates/oxidedns-server/src/tests.rs::refresh_registry_schedules_refresh_and_retry; crates/oxidedns-server/src/tests.rs::refresh_registry_applies_initial_load_exponential_backoff; crates/oxidedns-server/src/tests.rs::refresh_registry_does_not_warn_for_active_refresh_failures	scripts/check.sh	Release acceptance may add broader transfer-abort failure injection traces; Engineering MVP covers scheduler retry state deterministically.
ODS-FR-ZSM-009	Engineering-MVP	partial	unit-test	crates/oxidedns-server/src/tests.rs::refresh_registry_expires_zone_once; crates/oxidedns-server/src/tests.rs::scheduled_refresh_worker_expires_zone_and_enqueues_refresh	scripts/check.sh	Release acceptance may add long unreachable-primary expiration and recovery traces; Engineering MVP avoids long-running evidence.
