# qname	qtype	qclass	edns	label
host0.bench.test.	A	IN	none	hot-positive
host0.bench.test.	A	IN	none	hot-positive
host0.bench.test.	A	IN	none	hot-positive
host0.bench.test.	A	IN	none	hot-positive
host0.bench.test.	A	IN	none	hot-positive
host0.bench.test.	A	IN	none	hot-positive
host0.bench.test.	A	IN	none	hot-positive
host0.bench.test.	A	IN	none	hot-positive
host0.bench.test.	A	IN	none	hot-positive
host0.bench.test.	A	IN	none	hot-positive
host1.bench.test.	A	IN	none	positive
host2.bench.test.	A	IN	none	positive
host3.bench.test.	A	IN	none	positive
host4.bench.test.	A	IN	none	positive
host5.bench.test.	A	IN	none	positive
host6.bench.test.	A	IN	none	positive
host7.bench.test.	A	IN	none	positive
host8.bench.test.	A	IN	none	positive
host9.bench.test.	A	IN	none	positive
host10.bench.test.	A	IN	none	positive
host100.bench.test.	A	IN	none	positive
host250.bench.test.	A	IN	none	positive
host500.bench.test.	A	IN	none	positive
host750.bench.test.	A	IN	none	positive
host999.bench.test.	A	IN	none	positive
host1000.bench.test.	A	IN	none	positive
host1250.bench.test.	A	IN	none	positive
host1500.bench.test.	A	IN	none	positive
host1750.bench.test.	A	IN	none	positive
host2000.bench.test.	A	IN	none	positive
host2250.bench.test.	A	IN	none	positive
host2500.bench.test.	A	IN	none	positive
host2750.bench.test.	A	IN	none	positive
host3000.bench.test.	A	IN	none	positive
host3250.bench.test.	A	IN	none	positive
host3500.bench.test.	A	IN	none	positive
host3750.bench.test.	A	IN	none	positive
host4000.bench.test.	A	IN	none	positive
host4250.bench.test.	A	IN	none	positive
host4500.bench.test.	A	IN	none	positive
host4750.bench.test.	A	IN	none	positive
host5000.bench.test.	A	IN	none	positive
host5250.bench.test.	A	IN	none	positive
host5500.bench.test.	A	IN	none	positive
host5750.bench.test.	A	IN	none	positive
host6000.bench.test.	A	IN	none	positive
host6250.bench.test.	A	IN	none	positive
host6500.bench.test.	A	IN	none	positive
host6750.bench.test.	A	IN	none	positive
host7000.bench.test.	A	IN	none	positive
host7250.bench.test.	A	IN	none	positive
host7500.bench.test.	A	IN	none	positive
host7750.bench.test.	A	IN	none	positive
host8000.bench.test.	A	IN	none	positive
host8250.bench.test.	A	IN	none	positive
host8500.bench.test.	A	IN	none	positive
host8750.bench.test.	A	IN	none	positive
host9000.bench.test.	A	IN	none	positive
host9250.bench.test.	A	IN	none	positive
host9500.bench.test.	A	IN	none	positive
host9750.bench.test.	A	IN	none	positive
alias.bench.test.	A	IN	none	cname
alias.bench.test.	A	IN	none	cname
alias.bench.test.	A	IN	none	cname
alias.bench.test.	A	IN	none	cname
alias.bench.test.	A	IN	none	cname
alpha.wild.bench.test.	A	IN	none	wildcard
beta.wild.bench.test.	A	IN	none	wildcard
gamma.wild.bench.test.	A	IN	none	wildcard
www.child.bench.test.	A	IN	none	referral
api.child.bench.test.	A	IN	none	referral
text.bench.test.	AAAA	IN	none	nodata
text.bench.test.	A	IN	none	nodata
absent.bench.test.	A	IN	none	nxdomain
missing.bench.test.	A	IN	none	nxdomain
unknown.bench.test.	A	IN	none	nxdomain
host.dname.bench.test.	A	IN	none	dname
api.dname.bench.test.	A	IN	none	dname
big.bench.test.	TXT	IN	edns	large-edns
big.bench.test.	TXT	IN	edns	large-edns
opaque.bench.test.	65280	IN	none	opaque-unknown
host0.bench.test.	A	IN	do	do-fallback
host1.bench.test.	A	IN	do	do-fallback
absent.bench.test.	A	IN	do	do-fallback
